method,metric,time_index,improvement,nlcr_better
ols,mae,0,2.1119865002829528,True
ols,mae,1,-22.94390355810438,False
ols,mae,2,-23.52957088652977,False
ols,mae,3,-23.625375593228767,False
ols,mae,4,-24.67188829316177,False
ols,mae,5,-26.779144784684974,False
ols,mae,6,-28.566968871661032,False
ols,mae,7,-28.388023073527876,False
ols,mae,8,-28.39206487268882,False
ols,mae,9,-9.026143029958405,False
ols,mae,10,-8.825780155118082,False
ols,mae,11,-21.18730709736198,False
ols,mae,12,-19.164255604683916,False
ols,mae,13,-4.098712657054648,False
ols,mae,14,-2.5615858724989096,False
ols,mae,15,-1.3754797268956338,False
ols,mae,16,0.22017232363637618,True
ols,mae,17,1.6968520879661355,True
ols,mae,18,1.6195914054980562,True
ols,mae,19,0.4915218209685861,True
ols,mae,20,0.4814795349470842,True
ols,mae,21,-0.9900684755135671,False
ols,mae,22,-2.2862887470149644,False
ols,mae,23,10.932066754452109,True
ols,mae,24,2.4384470316351496,True
ols,mae,25,9.753773255340548,True
ols,mae,26,7.5390275118171814,True
ols,mae,27,11.885777472097146,True
ols,mae,28,9.73075695956868,True
ols,mae,29,-1.8119210457326034,False
ols,mae,30,1.3655419321559918,True
ols,mae,31,2.5441823211769474,True
ols,mae,32,0.6951571022645737,True
ols,mae,33,1.3829792995225034,True
ols,mae,34,-1.7290560642454125,False
ols,mae,35,-4.725552073674635,False
ols,mae,36,-3.2903457031271444,False
ols,mae,37,-1.1618557917145438,False
ols,mae,38,0.29485103586233663,True
ols,mae,39,0.2824216803531385,True
ols,mae,40,0.008381480052435109,True
ols,mae,41,1.4523889636887475,True
ols,mae,42,-0.4521510080510609,False
ols,mae,43,-2.8817796324914298,False
ols,mae,44,-2.4668727427904855,False
ols,mae,45,-3.169725788191954,False
ols,mae,46,-0.38926033640143487,False
ols,mae,47,0.4591725725569802,True
ols,mae,48,0.7256286488247952,True
ols,mae,49,1.5493832836017702,True
ols,mae,50,2.436751789866662,True
ols,mae,51,2.182904765332893,True
ols,mae,52,-0.8336717008047572,False
ols,mae,53,-3.1869388334388304,False
ols,mae,54,-3.534086127079661,False
ols,mae,55,-1.7981955660677613,False
ols,mae,56,-2.709790117675851,False
ols,mae,57,2.965076746085174,True
ols,mae,58,2.399293745130052,True
ols,mae,59,-2.305992067082883,False
ols,mae,60,-1.7906526051121148,False
ols,mae,61,-0.8879197668026535,False
ols,mae,62,-0.7352175297342285,False
ols,mae,63,2.58147631919212,True
ols,mae,64,6.213472154451097,True
ols,mae,65,9.58480827626596,True
ols,mae,66,12.85817171030098,True
ols,mae,67,14.075244242290438,True
ols,mae,68,11.882553872747394,True
ols,mae,69,3.0087703913874293,True
ols,mae,70,15.28816425485985,True
ols,mae,71,16.97323439757116,True
ols,mae,72,16.953507897956072,True
ols,mae,73,3.3809130876601756,True
ols,mae,74,4.325399352357493,True
ols,mae,75,8.902351326751301,True
ols,mae,76,5.973790015712382,True
ols,mae,77,0.9377314959851617,True
ols,mae,78,0.37318991829263837,True
ols,mae,79,-0.40383230757106503,False
ols,mae,80,-0.18016569542432848,False
ols,mae,81,0.6348340642986159,True
ols,mae,82,0.574052783280365,True
ols,mae,83,-0.5089226380434297,False
ols,mae,84,-2.5367909743469,False
ols,mae,85,-1.7835120817719599,False
ols,mae,86,-0.7115736362745224,False
ols,mae,87,-3.3816842165263097,False
ols,mae,88,-5.263822259670178,False
ols,mae,89,-2.921112390185016,False
ols,mae,90,3.580434305641262,True
ols,mae,91,-3.888203395510459,False
ols,mae,92,-10.36273446374662,False
ols,mae,93,-9.17849476701619,False
ols,mae,94,2.5452681686470555,True
ols,mae,95,-6.476842893165099,False
ols,rmse,0,9.598591709577647,True
ols,rmse,1,2.804844634811843,True
ols,rmse,2,3.0476160458775325,True
ols,rmse,3,2.89452262181112,True
ols,rmse,4,3.1360256083438003,True
ols,rmse,5,3.688838846968167,True
ols,rmse,6,4.55172811863315,True
ols,rmse,7,4.1923603507808025,True
ols,rmse,8,6.293248231467487,True
ols,rmse,9,2.7466939699515933,True
ols,rmse,10,5.767902764314897,True
ols,rmse,11,3.9768402979074153,True
ols,rmse,12,3.1567502560403113,True
ols,rmse,13,1.2001684312139105,True
ols,rmse,14,1.405205054125119,True
ols,rmse,15,0.14298259803297242,True
ols,rmse,16,0.003652819614217151,True
ols,rmse,17,0.019583254267729444,True
ols,rmse,18,0.18904990096825713,True
ols,rmse,19,0.02419678276632453,True
ols,rmse,20,0.010238846441211535,True
ols,rmse,21,0.2631645305366419,True
ols,rmse,22,0.7411084333292592,True
ols,rmse,23,1.2837030239068383,True
ols,rmse,24,2.6806217008147826,True
ols,rmse,25,2.48688187684337,True
ols,rmse,26,1.690760945576244,True
ols,rmse,27,1.039638538638883,True
ols,rmse,28,0.8840976691084279,True
ols,rmse,29,0.6978567951655918,True
ols,rmse,30,0.11022988188375393,True
ols,rmse,31,0.04127393947237579,True
ols,rmse,32,0.008577994361118613,True
ols,rmse,33,0.05260522890409902,True
ols,rmse,34,0.18198801050482416,True
ols,rmse,35,0.1585526984391663,True
ols,rmse,36,0.0781201076324578,True
ols,rmse,37,0.009810720550035512,True
ols,rmse,38,0.0055976097331722485,True
ols,rmse,39,0.0034973514026432895,True
ols,rmse,40,-1.9607193166848447e-06,False
ols,rmse,41,0.01783039768065464,True
ols,rmse,42,0.019754958553875213,True
ols,rmse,43,0.030751123247910073,True
ols,rmse,44,0.02309434759888518,True
ols,rmse,45,0.07090072288991678,True
ols,rmse,46,0.00636735096151142,True
ols,rmse,47,0.025307395607626404,True
ols,rmse,48,0.003439762632694965,True
ols,rmse,49,0.014264758883143713,True
ols,rmse,50,0.0339623308277055,True
ols,rmse,51,0.027122313099368967,True
ols,rmse,52,0.003664591026392827,True
ols,rmse,53,0.060012913378386656,True
ols,rmse,54,0.08040205970223724,True
ols,rmse,55,0.32790058323169546,True
ols,rmse,56,1.303522340226607,True
ols,rmse,57,0.29976414800796647,True
ols,rmse,58,0.5675147389222275,True
ols,rmse,59,0.47406709190471474,True
ols,rmse,60,0.21739085648025025,True
ols,rmse,61,0.10152193356796602,True
ols,rmse,62,0.004047265268184219,True
ols,rmse,63,0.04501006267548746,True
ols,rmse,64,0.25804816775576,True
ols,rmse,65,0.6800776901957875,True
ols,rmse,66,1.8034872616746327,True
ols,rmse,67,1.1598642249371665,True
ols,rmse,68,0.9324064175125386,True
ols,rmse,69,0.9587410896127722,True
ols,rmse,70,1.1808160187642898,True
ols,rmse,71,2.0258120637226966,True
