model,method,mae,rmse,smape,constraint_violation
naive_state,none,62.31296444682503,228.9475179637248,0.49899460281684105,0.0
ridge,none,58.60484388280538,192.9425685603711,0.6385767895888832,0.418980675085223
extra_trees,none,48.923407354371626,176.9533149764738,0.6204855986581908,0.22392548543135424
hist_gbr,none,60.24199801667173,204.62506149851822,0.7761626619521362,0.7800746281679417
naive_state,ols,62.31296444682503,228.9475179637248,0.49899460281684105,0.0
naive_state,wls,62.31296444692674,228.9475179637248,0.502747126905212,6.94367185526092e-14
naive_state,shr,62.31296444692674,228.9475179637248,0.502747126905212,6.94367185526092e-14
ridge,ols,58.62024287004003,192.94236654704548,0.5854188090744895,2.9622179056324718e-12
ridge,wls,48.99350540085357,179.65375802614167,0.5963004931655376,1.3752824446464257e-11
ridge,shr,47.90656054166345,180.81023266051722,0.6055720957166066,1.4170376840073628e-11
extra_trees,ols,48.924374047821374,176.95331541827952,0.5592288083605225,4.765638666274332e-13
extra_trees,wls,48.90410965640973,177.33932288081994,0.6000754887363644,1.447351211847013e-11
extra_trees,shr,48.95365130906147,177.69814345301154,0.6025039357396093,1.9189113817114205e-11
hist_gbr,ols,60.70317665249204,205.93782403389608,0.7635336091365486,1.1479754368860215e-11
hist_gbr,wls,51.00676254906003,192.08284977833827,0.6560577573466354,1.2592014491085143e-11
hist_gbr,shr,51.00676254906003,192.08284977833827,0.6560577573466354,1.2592014491085143e-11
