experiment,model,method,n_forecasts,fit_seconds,calibration_prediction_seconds,baseline_prediction_seconds,reconciliation_seconds,total_prediction_seconds,end_to_end_seconds,overhead_seconds,slowdown_vs_base,baseline_ms_per_forecast,reconciliation_ms_per_forecast,total_ms_per_forecast
LOBSTER backtest,naive_state,none,200,0.0,0.005293712951242924,0.0038844579830765724,0.0,0.0038844579830765724,0.009178170934319496,0.0,1.0,0.019422289915382862,0.0,0.019422289915382862
LOBSTER backtest,naive_state,ols,200,0.0,0.005293712951242924,0.0038844579830765724,0.2792502660304308,0.28313472401350737,0.2884284369647503,0.2792502660304308,72.88911998714907,0.019422289915382862,1.396251330152154,1.4156736200675368
LOBSTER backtest,naive_state,wls,200,0.0,0.005293712951242924,0.0038844579830765724,0.3821126710390672,0.3859971290221438,0.3912908419733867,0.3821126710390672,99.36962394851956,0.019422289915382862,1.910563355195336,1.929985645110719
LOBSTER backtest,naive_state,shr,200,0.0,0.005293712951242924,0.0038844579830765724,0.3832657070015557,0.3871501649846323,0.3924438779358752,0.3832657070015557,99.6664571148228,0.019422289915382862,1.9163285350077786,1.9357508249231614
LOBSTER backtest,ridge,none,200,0.008751240966375917,0.006859339016955346,0.006179780000820756,0.0,0.006179780000820756,0.02179035998415202,0.0,1.0,0.03089890000410378,0.0,0.03089890000410378
LOBSTER backtest,ridge,ols,200,0.008751240966375917,0.006859339016955346,0.006179780000820756,2.2939400550094433,2.300119835010264,2.3157304149935953,2.2939400550094433,372.2009253897029,0.03089890000410378,11.469700275047217,11.50059917505132
LOBSTER backtest,ridge,wls,200,0.008751240966375917,0.006859339016955346,0.006179780000820756,10.684955217002425,10.691134997003246,10.706745576986577,10.684955217002425,1730.0187054528353,0.03089890000410378,53.42477608501213,53.45567498501623
LOBSTER backtest,ridge,shr,200,0.008751240966375917,0.006859339016955346,0.006179780000820756,14.440251557040028,14.446431337040849,14.46204191702418,14.440251557040028,2337.6934672629404,0.03089890000410378,72.20125778520014,72.23215668520425
LOBSTER backtest,extra_trees,none,200,0.5567392259836197,0.0174093900131993,0.014899471017997712,0.0,0.014899471017997712,0.5890480870148167,0.0,1.0,0.07449735508998856,0.0,0.07449735508998856
LOBSTER backtest,extra_trees,ols,200,0.5567392259836197,0.0174093900131993,0.014899471017997712,1.0626072799786925,1.0775067509966902,1.6516553669935092,1.0626072799786925,72.31845678917885,0.07449735508998856,5.313036399893463,5.387533754983451
LOBSTER backtest,extra_trees,wls,200,0.5567392259836197,0.0174093900131993,0.014899471017997712,10.587415509973653,10.60231498099165,11.17646359698847,10.587415509973653,711.5900267992506,0.07449735508998856,52.93707754986826,53.01157490495825
LOBSTER backtest,extra_trees,shr,200,0.5567392259836197,0.0174093900131993,0.014899471017997712,11.878750135016162,11.89364960603416,12.467798222030979,11.878750135016162,798.2598571229347,0.07449735508998856,59.39375067508081,59.4682480301708
LOBSTER backtest,hist_gbr,none,200,1.5442046379903331,0.026215164980385453,0.022967947006691247,0.0,0.022967947006691247,1.5933877499774098,0.0,1.0,0.11483973503345624,0.0,0.11483973503345624
LOBSTER backtest,hist_gbr,ols,200,1.5442046379903331,0.026215164980385453,0.022967947006691247,10.191949160012882,10.214917107019573,11.785336909990292,10.191949160012882,444.74663338624316,0.11483973503345624,50.95974580006441,51.07458553509787
LOBSTER backtest,hist_gbr,wls,200,1.5442046379903331,0.026215164980385453,0.022967947006691247,11.80556136200903,11.828529309015721,13.39894911198644,11.80556136200903,515.0015935499032,0.11483973503345624,59.02780681004515,59.142646545078605
LOBSTER backtest,hist_gbr,shr,200,1.5442046379903331,0.026215164980385453,0.022967947006691247,11.546475608018227,11.569443555024918,13.139863357995637,11.546475608018227,503.721275203848,0.11483973503345624,57.732378040091135,57.84721777512459
