n,trades,trade_rate,mean_net_pnl,total_net_pnl,hit_rate,sharpe_like,max_drawdown,turnover,model,method
200,0,0.0,0.0,0.0,,,0.0,0.0,naive_state,none
200,43,0.215,-0.011200000000001183,-2.2400000000002365,0.3488372093023256,-3.0355982286115455,-2.4100000000001387,34.0,ridge,none
200,200,1.0,-0.0757500000000033,-15.15000000000066,0.175,-11.056663838840521,-15.010000000000673,1.0,extra_trees,none
200,200,1.0,-0.0757500000000033,-15.15000000000066,0.175,-11.056663838840521,-15.010000000000673,1.0,hist_gbr,none
200,0,0.0,0.0,0.0,,,0.0,0.0,naive_state,ols
200,0,0.0,0.0,0.0,,,0.0,0.0,naive_state,wls
200,0,0.0,0.0,0.0,,,0.0,0.0,naive_state,shr
200,43,0.215,-0.011200000000001183,-2.2400000000002365,0.3488372093023256,-3.0355982286115455,-2.4100000000001387,34.0,ridge,ols
200,43,0.215,-0.011200000000001183,-2.2400000000002365,0.3488372093023256,-3.0355982286115455,-2.4100000000001387,34.0,ridge,wls
200,54,0.27,-0.02555000000000092,-5.110000000000184,0.16666666666666666,-5.590329509694678,-5.110000000000184,44.0,ridge,shr
200,200,1.0,-0.0757500000000033,-15.15000000000066,0.175,-11.056663838840521,-15.010000000000673,1.0,extra_trees,ols
200,200,1.0,-0.0757500000000033,-15.15000000000066,0.175,-11.056663838840521,-15.010000000000673,1.0,extra_trees,wls
200,200,1.0,-0.0757500000000033,-15.15000000000066,0.175,-11.056663838840521,-15.010000000000673,1.0,extra_trees,shr
200,197,0.985,-0.07580000000000325,-15.16000000000065,0.17258883248730963,-11.124610912664746,-15.020000000000664,7.0,hist_gbr,ols
200,198,0.99,-0.07510000000000332,-15.020000000000664,0.17676767676767677,-10.946899631015505,-14.880000000000678,5.0,hist_gbr,wls
200,198,0.99,-0.07510000000000332,-15.020000000000664,0.17676767676767677,-10.946899631015505,-14.880000000000678,5.0,hist_gbr,shr
