task,method,value,rank,experiment,model,metric,source
Household power:mae,ols,205.66612581151085,2.0,Household power,default,mae,standard
Household power:rmse,ols,365.3004683731127,2.0,Household power,default,rmse,standard
Household power:smape,ols,1.334122175378054,2.0,Household power,default,smape,standard
LOBSTER backtest:extra_trees:mae,ols,48.92437404783772,2.0,LOBSTER backtest,extra_trees,mae,backtest_forecast
LOBSTER backtest:extra_trees:rmse,ols,176.95331541828563,1.0,LOBSTER backtest,extra_trees,rmse,backtest_forecast
LOBSTER backtest:extra_trees:smape,ols,0.559228808361246,1.0,LOBSTER backtest,extra_trees,smape,backtest_forecast
LOBSTER backtest:hist_gbr:mae,ols,60.70317665249204,3.0,LOBSTER backtest,hist_gbr,mae,backtest_forecast
LOBSTER backtest:hist_gbr:rmse,ols,205.93782403389608,3.0,LOBSTER backtest,hist_gbr,rmse,backtest_forecast
LOBSTER backtest:hist_gbr:smape,ols,0.7635336091365486,3.0,LOBSTER backtest,hist_gbr,smape,backtest_forecast
LOBSTER backtest:naive_state:mae,ols,62.31296444682503,1.0,LOBSTER backtest,naive_state,mae,backtest_forecast
LOBSTER backtest:naive_state:rmse,ols,228.9475179637248,2.0,LOBSTER backtest,naive_state,rmse,backtest_forecast
LOBSTER backtest:naive_state:smape,ols,0.498994602816841,1.0,LOBSTER backtest,naive_state,smape,backtest_forecast
LOBSTER backtest:ridge:mae,ols,58.62024287004003,3.0,LOBSTER backtest,ridge,mae,backtest_forecast
LOBSTER backtest:ridge:rmse,ols,192.94236654704548,3.0,LOBSTER backtest,ridge,rmse,backtest_forecast
LOBSTER backtest:ridge:smape,ols,0.5854188090744895,1.0,LOBSTER backtest,ridge,smape,backtest_forecast
LOBSTER bid/ask:mae,ols,65.5855957285825,3.0,LOBSTER bid/ask,default,mae,standard
LOBSTER bid/ask:rmse,ols,219.36821696465464,1.0,LOBSTER bid/ask,default,rmse,standard
LOBSTER bid/ask:smape,ols,0.4176409117972474,1.0,LOBSTER bid/ask,default,smape,standard
M5 sales:mae,ols,9.98621557567864,2.0,M5 sales,default,mae,standard
M5 sales:rmse,ols,18.57763984879183,2.0,M5 sales,default,rmse,standard
M5 sales:smape,ols,0.2284376273691001,3.0,M5 sales,default,smape,standard
Synthetic:mae,ols,1.4755145898821824,3.0,Synthetic,default,mae,standard
