rho,gamma,m,alpha,beta,n_true,n_valid,n_fail,p_reconciled_better
-0.8,0.5,-0.7853981633974483,-50.0,-25.0,1000,1000,0,0.998
-0.8,0.5,-0.7853981633974483,-50.0,-10.0,1000,1000,0,0.936
-0.8,0.5,-0.7853981633974483,-50.0,0.0,1000,1000,0,0.891
-0.8,0.5,-0.7853981633974483,-50.0,10.0,1000,1000,0,0.925
-0.8,0.5,-0.7853981633974483,-50.0,25.0,1000,1000,0,0.997
-0.8,0.5,-0.7853981633974483,-25.0,-25.0,1000,1000,0,0.998
-0.8,0.5,-0.7853981633974483,-25.0,-10.0,1000,1000,0,0.98
-0.8,0.5,-0.7853981633974483,-25.0,0.0,1000,1000,0,0.965
-0.8,0.5,-0.7853981633974483,-25.0,10.0,1000,1000,0,0.975
-0.8,0.5,-0.7853981633974483,-25.0,25.0,1000,1000,0,0.999
-0.8,0.5,-0.7853981633974483,0.0,-25.0,1000,1000,0,1.0
-0.8,0.5,-0.7853981633974483,0.0,-10.0,1000,1000,0,1.0
-0.8,0.5,-0.7853981633974483,0.0,0.0,1000,1000,0,0.997
-0.8,0.5,-0.7853981633974483,0.0,10.0,1000,1000,0,1.0
-0.8,0.5,-0.7853981633974483,0.0,25.0,1000,1000,0,1.0
-0.8,0.5,-0.7853981633974483,25.0,-25.0,1000,1000,0,0.995
-0.8,0.5,-0.7853981633974483,25.0,-10.0,1000,1000,0,0.97
-0.8,0.5,-0.7853981633974483,25.0,0.0,1000,1000,0,0.951
-0.8,0.5,-0.7853981633974483,25.0,10.0,1000,1000,0,0.967
-0.8,0.5,-0.7853981633974483,25.0,25.0,1000,1000,0,0.999
-0.8,0.5,-0.7853981633974483,50.0,-25.0,1000,1000,0,0.997
-0.8,0.5,-0.7853981633974483,50.0,-10.0,1000,1000,0,0.919
-0.8,0.5,-0.7853981633974483,50.0,0.0,1000,1000,0,0.806
-0.8,0.5,-0.7853981633974483,50.0,10.0,1000,1000,0,0.871
-0.8,0.5,-0.7853981633974483,50.0,25.0,1000,1000,0,0.986
-0.4,0.5,-0.7853981633974483,-50.0,-25.0,1000,1000,0,0.994
-0.4,0.5,-0.7853981633974483,-50.0,-10.0,1000,1000,0,0.938
-0.4,0.5,-0.7853981633974483,-50.0,0.0,1000,1000,0,0.882
